articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
9-2-2015,0.89,0.89,mean,0,MATCH,NA
9-2-2015,0.3,0.3,mean,0,MATCH,NA
9-2-2015,0.25,0.25,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.3,0.3,mean,0,MATCH,NA
9-2-2015,0.7,0.7,mean,0,MATCH,NA
9-2-2015,6.4,6.4,other,0,MATCH,NA
9-2-2015,0.011,0.011,p,0,MATCH,NA
9-2-2015,0.25,0.25,mean,0,MATCH,NA
9-2-2015,0.75,0.75,mean,0,MATCH,NA
9-2-2015,10,10,other,0,MATCH,NA
9-2-2015,<.005,0.001565,p,NA,MATCH,TRUE
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.85,0.85,mean,0,MATCH,NA
9-2-2015,0.8,0.8,mean,0,MATCH,NA
9-2-2015,0.7,0.7,mean,0,MATCH,NA
